,Start Time,Period (min),NE Name,BSC6910UCell,VS.HSDPA.MeanChThroughput (kbit/s),HSDPA_Data_Volume_MB (MB),Cell Availability (%),Overall Accessibility Success Rate PS Interactive EUL (%) (%),Max HSDPA UE (None),Mean HSDPA UE (None),cluster,,,,,,
0,2/18/2021 0:00,60,DRH38,"Label=NSSBP24HB, CellID=28800, LogicRNCID=838",2363.843,1598.071,100,100,20,10.736,0,,,,,,
1,2/18/2021 0:00,60,DRH38,"Label=NSSBP24HA, CellID=28799, LogicRNCID=838",1450.319,312.347,100,100,9,4.294,2,,,,,,
2,2/18/2021 0:00,60,DRH38,"Label=NSSBP24WB, CellID=28788, LogicRNCID=838",1907.42,510.195,100,100,10,5.174,1,,,,,,
3,2/18/2021 0:00,60,DRH38,"Label=NSSDR44HB, CellID=61877, LogicRNCID=838",1450.726,1022.205,100,99.844,19,10.426,1,,,,,,
4,2/18/2021 0:00,60,DRH38,"Label=NSSDR44WC, CellID=61875, LogicRNCID=838",1860.788,1465.025,100,100,15,8.847,1,,,,,,
5,2/18/2021 0:00,60,DRH38,"Label=NSSDR44HC, CellID=21944, LogicRNCID=838",1776.941,1066.484,100,100,15,9.667,1,,,,,,
6,2/18/2021 0:00,60,DRH38,"Label=NSSDR44WA, CellID=62323, LogicRNCID=838",1701.682,1388.079,100,100,17,11.389,1,,,,,,
7,2/18/2021 0:00,60,DRH38,"Label=NSSDR46WB, CellID=23463, LogicRNCID=838",2144.942,1908.918,100,100,28,15.211,0,,,,,,
8,2/18/2021 0:00,60,DRH38,"Label=NSSDR46HA, CellID=23442, LogicRNCID=838",1200.958,772.36,100,99.676,20,11.346,0,,,,,,
9,2/18/2021 0:00,60,DRH38,"Label=NSSDR46WA, CellID=21822, LogicRNCID=838",1252.903,1252.064,100,100,20,11.604,0,,,,,,
10,2/18/2021 0:00,60,DRH38,"Label=NSSBP31HA, CellID=44471, LogicRNCID=838",1056.353,706.946,100,99.881,25,14.89,0,,,,,,
11,2/18/2021 0:00,60,DRH38,"Label=NSSBP31WB, CellID=44466, LogicRNCID=838",3307.463,697.624,100,100,9,4.364,2,,,,,,
12,2/18/2021 0:00,60,DRH38,"Label=NSSBP31HC, CellID=24084, LogicRNCID=838",2700.704,595.715,100,100,12,6.326,1,,,,,,
13,2/18/2021 0:00,60,DRH38,"Label=NSSBP14HB, CellID=47869, LogicRNCID=838",3064.34,420.03,100,100,6,3.649,2,,,,,,
14,2/18/2021 0:00,60,DRH38,"Label=NSSBP14HA, CellID=63389, LogicRNCID=838",1386.102,875.724,100,98.465,14,8.506,1,,,,,,
15,2/18/2021 0:00,60,DRH38,"Label=NSSBP14WB, CellID=45407, LogicRNCID=838",344.651,30.883,100,100,7,2.326,2,,,,,,
16,2/18/2021 0:00,60,DRH38,"Label=NSSBP30HC, CellID=44464, LogicRNCID=838",2569.984,625.17,100,100,13,6.129,1,,,,,,
17,2/18/2021 0:00,60,DRH38,"Label=NSSBP30WA, CellID=22823, LogicRNCID=838",1461.318,831.837,100,100,19,11.885,0,,,,,,
18,2/18/2021 0:00,60,DRH38,"Label=NSSBP30HA, CellID=12174, LogicRNCID=838",2286.469,897.848,100,100,17,9.174,1,,,,,,
19,2/18/2021 0:00,60,DRH38,"Label=NSSBP30WC, CellID=12173, LogicRNCID=838",2244.383,621.329,100,100,14,7.651,1,,,,,,
20,2/18/2021 0:00,60,DRH38,"Label=NSSDR25WC, CellID=40157, LogicRNCID=838",4723.727,344.011,100,100,5,1.974,2,,,,,,
21,2/18/2021 0:00,60,DRH38,"Label=NSSDR25WA, CellID=40155, LogicRNCID=838",3047.101,277.797,100,100,9,3.553,2,,,,,,
22,2/18/2021 0:00,60,DRH38,"Label=NSSDR43HC, CellID=62322, LogicRNCID=838",1741.889,1049.406,100,100,14,9.25,1,,,,,,
23,2/18/2021 0:00,60,DRH38,"Label=NSSDR43HB, CellID=62321, LogicRNCID=838",1610.667,847.818,100,100,12,5.801,1,,,,,,
24,2/18/2021 0:00,60,DRH38,"Label=NSSDR43WB, CellID=20763, LogicRNCID=838",2627.422,822.219,100,99.408,12,5.394,1,,,,,,
25,2/18/2021 0:00,60,DRH38,"Label=NSSDR16WC, CellID=45411, LogicRNCID=838",900.573,414.568,100,100,27,6.603,0,,,,,,
26,2/18/2021 0:00,60,DRH38,"Label=NSSDR16HC, CellID=59992, LogicRNCID=838",1625.531,834.379,100,96.285,25,8.214,0,,,,,,
27,2/18/2021 0:00,60,DRH38,"Label=NSSDR16HA, CellID=59990, LogicRNCID=838",1422.44,538.048,100,99.057,28,8.863,0,,,,,,
28,2/18/2021 0:00,60,DRH38,"Label=NSSDR16WA, CellID=45409, LogicRNCID=838",1130.713,646.451,100,100,26,10.921,0,,,,,,
29,2/18/2021 0:00,60,DRH38,"Label=NSSDR31HC, CellID=12177, LogicRNCID=838",1538.223,2043.523,100,99.682,28,18.415,0,,,,,,
30,2/18/2021 0:00,60,DRH38,"Label=NSSDR31WC, CellID=45417, LogicRNCID=838",1262.062,2198.122,100,99.858,31,20.599,0,,,,,,
31,2/18/2021 0:00,60,DRH38,"Label=NSSDR31WA, CellID=45415, LogicRNCID=838",1442.235,920.142,100,97.377,25,11.669,0,,,,,,
32,2/18/2021 0:00,60,DRH38,"Label=NSSDR32WC, CellID=45420, LogicRNCID=838",1847.447,883.85,100,100,14,7.475,1,,,,,,
33,2/18/2021 0:00,60,DRH38,"Label=NSSDR32WA, CellID=45418, LogicRNCID=838",1297.671,690.998,100,100,14,6.285,1,,,,,,
34,2/18/2021 0:00,60,DRH38,"Label=NSSDR32HC, CellID=57422, LogicRNCID=838",3755.61,2287.774,100,100,10,4.757,2,,,,,,
35,2/18/2021 0:00,60,DRH38,"Label=NSSDR45WB, CellID=62316, LogicRNCID=838",833.827,195.125,100,100,12,5.804,1,,,,,,
36,2/18/2021 0:00,60,DRH38,"Label=NSSDR45HA, CellID=62314, LogicRNCID=838",1300.421,619.858,100,100,16,8.243,1,,,,,,
37,2/18/2021 0:00,60,DRH38,"Label=NSSDR45WA, CellID=21945, LogicRNCID=838",1523.623,564.624,100,100,16,8.046,1,,,,,,
38,2/18/2021 0:00,60,DRH38,"Label=NSSDR45HB, CellID=23576, LogicRNCID=838",1460.895,668.463,100,100,16,7.6,1,,,,,,
39,2/18/2021 0:00,60,DRH38,"Label=NSSDR26HB, CellID=63417, LogicRNCID=838",3199.382,233.247,100,98.119,10,2.997,2,,,,,,
40,2/18/2021 0:00,60,DRH38,"Label=NSSDR26WC, CellID=45391, LogicRNCID=838",1961.976,632.135,100,100,11,7.056,1,,,,,,
41,2/18/2021 0:00,60,DRH38,"Label=NSSDR26WB, CellID=45390, LogicRNCID=838",3692.225,463.788,100,99.624,9,4.357,2,,,,,,
42,2/18/2021 0:00,60,DRH38,"Label=NSSDR20WC, CellID=62526, LogicRNCID=838",1674.236,285.24,100,99.608,15,4.103,1,,,,,,
43,2/18/2021 0:00,60,DRH38,"Label=NSSDR20WA, CellID=62524, LogicRNCID=838",1697.662,116.604,100,100,10,4.615,2,,,,,,
44,2/18/2021 0:00,60,DRH38,"Label=NSSDR20HB, CellID=62522, LogicRNCID=838",1717.62,115.411,100,100,5,1.01,2,,,,,,
45,2/18/2021 0:00,60,DRH38,"Label=NSSDR29WC, CellID=45414, LogicRNCID=838",1356.161,210.793,100,100,7,1.843,2,,,,,,
46,2/18/2021 0:00,60,DRH38,"Label=NSSDR29WB, CellID=45413, LogicRNCID=838",3039.478,425.645,100,100,13,4.731,1,,,,,,
47,2/18/2021 0:00,60,DRH38,"Label=NSSDR29HA, CellID=30380, LogicRNCID=838",1585.864,1004.207,100,99.508,20,10.694,0,,,,,,
48,2/18/2021 0:00,60,DRH38,"Label=NSSDR29HB, CellID=13436, LogicRNCID=838",1021.234,568.758,100,98.148,14,6.443,1,,,,,,
49,2/18/2021 0:00,60,DRH38,"Label=NSSDR13WB, CellID=14282, LogicRNCID=838",2425.875,1304.369,100,99.789,17,9.544,1,,,,,,
50,2/18/2021 0:00,60,DRH38,"Label=NSSDR13WA, CellID=14281, LogicRNCID=838",1255.018,763.689,100,100,17,8.653,1,,,,,,
51,2/18/2021 0:00,60,DRH38,"Label=NSSDR13HB, CellID=9076, LogicRNCID=838",2624.764,1104.283,100,99.597,19,10.318,1,,,,,,
52,2/18/2021 0:00,60,DRH38,"Label=NSSDR39WA, CellID=45421, LogicRNCID=838",1954.259,1597.481,100,100,18,9.29,1,,,,,,
53,2/18/2021 0:00,60,DRH38,"Label=NSSDR39WB, CellID=45402, LogicRNCID=838",1313.926,1126.165,100,99.522,23,11.885,0,,,,,,
54,2/18/2021 0:00,60,DRH38,"Label=NSSDR39HB, CellID=30381, LogicRNCID=838",1470.541,766.928,100,99.446,16,8.731,1,,,,,,
