Start Time,Period (min),NE Name,GCELL,MCC,MNC,LAC,CI,K3014:Traffic Volume on TCH (Erl),Configured TRX (number),Available TRX_RNO (number),TCH CONG(USER)_RATE_RNO (number),SDCCH congestion rate (%),TASR_RNO (number),HW Call Setup Success Rate (%),HOSR (%) (%),BSS Drop_RNO (Erl),Total Data Volume (MB),VAMOS Traffic_RNO (Erl),R373:Cell Out-of-Service Duration (s),TR373:Cell Availability (%),TCH Availability (%)
10/15/2020 0:00,60,RBH82,"LABEL=R82047C, CellIndex=27, CGI=47002021ED6EC",470,2,542,55020,1.147,2,2,0,0,100,65,100,0,0.888,0,0,85,87
10/15/2020 0:00,60,RBH82,"LABEL=R82047B, CellIndex=26, CGI=47002021ED6EB",470,2,542,55019,5.638,3,3,0,0,100,100,98.039,0,6.436,0,0,100,100
10/15/2020 0:00,60,RBH82,"LABEL=R82047A, CellIndex=25, CGI=47002021ED6EA",470,2,542,55018,3.251,2,2,0,0,100,75,94.231,0,0.812,0,0,87,88
10/15/2020 1:00,60,RBH82,"LABEL=R82047C, CellIndex=27, CGI=47002021ED6EC",470,2,542,55020,5.251,2,2,0,0,100,100,100,0,0.153,0,0,100,100
10/15/2020 1:00,60,RBH82,"LABEL=R82047B, CellIndex=26, CGI=47002021ED6EB",470,2,542,55019,7.638,3,3,0,0,100,100,100,0,7.439,0,0,100,100
10/15/2020 1:00,60,RBH82,"LABEL=R82047A, CellIndex=25, CGI=47002021ED6EA",470,2,542,55018,4.251,2,2,0,0,100,85,100,0,0.892,0,0,89,90
10/15/2020 2:00,60,RBH82,"LABEL=R82047C, CellIndex=27, CGI=47002021ED6EC",470,2,542,55020,3.815,2,2,0,5,100,88,100,0,0.029,0,0,100,100
10/15/2020 2:00,60,RBH82,"LABEL=R82047B, CellIndex=26, CGI=47002021ED6EB",470,2,542,55019,5.785,3,3,0,6,100,100,95.238,0,2.032,0,0,100,100
10/15/2020 2:00,60,RBH82,"LABEL=R82047A, CellIndex=25, CGI=47002021ED6EA",470,2,542,55018,3.815,2,2,0,7,100,80,94.737,0,0.174,0,0,82,83
10/15/2020 3:00,60,RBH82,"LABEL=R82047C, CellIndex=27, CGI=47002021ED6EC",470,2,542,55020,0.092,2,2,0,8,100,55,100,0,0.025,0,0,85,86
10/15/2020 3:00,60,RBH82,"LABEL=R82047B, CellIndex=26, CGI=47002021ED6EB",470,2,542,55019,9.04,3,3,0,9,100,100,100,0,0.932,0,0,100,100
10/15/2020 3:00,60,RBH82,"LABEL=R82047A, CellIndex=25, CGI=47002021ED6EA",470,2,542,55018,9.04,2,2,0,0,100,100,100,0,0.275,0,0,100,100
10/15/2020 4:00,60,RBH82,"LABEL=R82047C, CellIndex=27, CGI=47002021ED6EC",470,2,542,55020,9.04,2,2,0,0,100,100,100,0,0.021,0,0,100,100
10/15/2020 4:00,60,RBH82,"LABEL=R82047B, CellIndex=26, CGI=47002021ED6EB",470,2,542,55019,9.04,3,3,0,0,98.864,98.864,100,0,0.663,0,0,100,100
10/15/2020 4:00,60,RBH82,"LABEL=R82047A, CellIndex=25, CGI=47002021ED6EA",470,2,542,55018,0.092,2,2,0,0,100,70,100,0,0.729,0,0,82,82
10/15/2020 5:00,60,RBH82,"LABEL=R82047C, CellIndex=27, CGI=47002021ED6EC",470,2,542,55020,0.728,2,2,NIL,0,NIL,65,NIL,0,0.038,0,0,88,89
10/15/2020 5:00,60,RBH82,"LABEL=R82047B, CellIndex=26, CGI=47002021ED6EB",470,2,542,55019,0.307,3,3,0,0,100,70,73.333,0,0.947,0,0,77,79
10/15/2020 5:00,60,RBH82,"LABEL=R82047A, CellIndex=25, CGI=47002021ED6EA",470,2,542,55018,0.758,2,2,0,0,100,75,100,0,0.416,0,0,79,80
10/15/2020 6:00,60,RBH82,"LABEL=R82047C, CellIndex=27, CGI=47002021ED6EC",470,2,542,55020,1.454,2,2,0,0,100,80,100,0,0.07,0,0,76,82
10/15/2020 6:00,60,RBH82,"LABEL=R82047B, CellIndex=26, CGI=47002021ED6EB",470,2,542,55019,2.375,3,3,0,0,99.296,85,95.172,0,5.27,0,0,80,77
10/15/2020 6:00,60,RBH82,"LABEL=R82047A, CellIndex=25, CGI=47002021ED6EA",470,2,542,55018,1.703,2,2,0,0,98.98,70,89.474,0,0.249,0,0,75,79
10/15/2020 7:00,60,RBH82,"LABEL=R82047C, CellIndex=27, CGI=47002021ED6EC",470,2,542,55020,1.933,2,2,0,0,100,72,95.122,0,0.067,0,0,100,100
10/15/2020 7:00,60,RBH82,"LABEL=R82047B, CellIndex=26, CGI=47002021ED6EB",470,2,542,55019,4.882,3,3,0,0,98.802,98.802,93.676,0,12.013,0,0,100,100
10/15/2020 7:00,60,RBH82,"LABEL=R82047A, CellIndex=25, CGI=47002021ED6EA",470,2,542,55018,2.442,2,2,0,0,98.621,85,93.023,0,0.906,0,0,85,90
10/15/2020 8:00,60,RBH82,"LABEL=R82047C, CellIndex=27, CGI=47002021ED6EC",470,2,542,55020,3.815,2,2,0,0,100,90,100,0,0.178,0,0,100,100
10/15/2020 8:00,60,RBH82,"LABEL=R82047B, CellIndex=26, CGI=47002021ED6EB",470,2,542,55019,6.599,3,3,0,0,98.715,98.715,84.152,0,8.1,0,0,100,100
10/15/2020 8:00,60,RBH82,"LABEL=R82047A, CellIndex=25, CGI=47002021ED6EA",470,2,542,55018,7.572,2,2,0,0,99.31,99.31,96.175,0,4.348,0.002,0,100,100
10/15/2020 9:00,60,RBH82,"LABEL=R82047C, CellIndex=27, CGI=47002021ED6EC",470,2,542,55020,7.785,2,2,0,0,99.048,99.048,100,0,0.286,0.08,0,100,100
10/15/2020 9:00,60,RBH82,"LABEL=R82047B, CellIndex=26, CGI=47002021ED6EB",470,2,542,55019,8.464,3,3,0,0,99.174,99.174,94.468,0,10.445,0.008,0,100,100
10/15/2020 9:00,60,RBH82,"LABEL=R82047A, CellIndex=25, CGI=47002021ED6EA",470,2,542,55018,7.364,2,2,0,0,99.71,99.71,98.134,0,2.365,0.066,0,100,100
10/15/2020 10:00,60,RBH82,"LABEL=R82047C, CellIndex=27, CGI=47002021ED6EC",470,2,542,55020,7.421,2,2,0,0,99.029,99.029,100,0,0.286,0.338,0,100,100
10/15/2020 10:00,60,RBH82,"LABEL=R82047B, CellIndex=26, CGI=47002021ED6EB",470,2,542,55019,9.04,3,3,0,0,99.433,99.433,96.223,0,8.316,0,0,100,100
10/15/2020 10:00,60,RBH82,"LABEL=R82047A, CellIndex=25, CGI=47002021ED6EA",470,2,542,55018,6.039,2,2,0,0,98.911,98.911,98.75,0,4.75,0.08,0,100,100
10/15/2020 11:00,60,RBH82,"LABEL=R82047C, CellIndex=27, CGI=47002021ED6EC",470,2,542,55020,6.513,2,2,0,0,100,100,98.571,0,0.395,0.172,0,100,100
10/15/2020 11:00,60,RBH82,"LABEL=R82047B, CellIndex=26, CGI=47002021ED6EB",470,2,542,55019,7.906,3,3,0,0,99.249,99.249,96.32,0,5.732,0,0,100,100
10/15/2020 11:00,60,RBH82,"LABEL=R82047A, CellIndex=25, CGI=47002021ED6EA",470,2,542,55018,5.779,2,2,0,0,98.383,98.383,96.014,0,2.289,0.112,0,100,100
10/15/2020 12:00,60,RBH82,"LABEL=R82047C, CellIndex=27, CGI=47002021ED6EC",470,2,542,55020,5.021,2,2,0,0,100,100,100,0,0.269,0.044,0,100,100
10/15/2020 12:00,60,RBH82,"LABEL=R82047B, CellIndex=26, CGI=47002021ED6EB",470,2,542,55019,8.333,3,3,0,0,99.848,99.848,97.761,0,7.806,0,0,100,100
10/15/2020 12:00,60,RBH82,"LABEL=R82047A, CellIndex=25, CGI=47002021ED6EA",470,2,542,55018,3.838,2,2,0,0,98.834,98.834,96.744,0,3.001,0,0,100,100
10/15/2020 13:00,60,RBH82,"LABEL=R82047C, CellIndex=27, CGI=47002021ED6EC",470,2,542,55020,5.644,2,2,0,0,98.667,98.667,100,0,0.245,0.028,0,100,100
10/15/2020 13:00,60,RBH82,"LABEL=R82047B, CellIndex=26, CGI=47002021ED6EB",470,2,542,55019,6.671,3,3,0,0,99.458,99.458,96.734,0,7.141,0,0,100,100
10/15/2020 13:00,60,RBH82,"LABEL=R82047A, CellIndex=25, CGI=47002021ED6EA",470,2,542,55018,4.724,2,2,0,0,98.485,90,95.928,0,3.028,0.008,0,100,100
